sub,date,nTrials,nRightTrials,nLeftTrials,Perf,probeID,probeType,regions,nUnits
455219,20190805,561,380,204,80,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Thalamus' 'right Midbrain'],"[345, 236, 409, 190]"
455219,20190806,611,426,208,81.92488263,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Thalamus' 'right Midbrain'],"[353, 297, 385, 177]"
455219,20190807,630,461,255,83.73101952,"['17216703352', '17131309211', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'right Midbrain'],"[263, 449, 198]"
455219,20190808,750,532,294,84.58646617,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Thalamus' 'right Midbrain'],"[356, 320, 416, 275]"
455220,20190729,580,369,133,81.57181572,"['17216703352', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'left Midbrain' 'right Midbrain'],"[147, 406, 293]"
455220,20190730,550,370,155,85.67567568,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[379, 274, 281, 306]"
455220,20190731,524,332,165,78.31325301,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Midbrain'],"[367, 295, 343, 263]"
455220,20190801,569,386,176,77.97927461,"['17216703352', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'left Midbrain' 'right Midbrain'],"[376, 231, 245]"
455220,20190803,542,368,141,80.43478261,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum' 'left Thalamus' 'right Thalamus'],"[148, 206, 404, 443]"
455220,20190804,513,320,93,70,"['17216703352', '17131309211', '18005107812', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum' 'left Thalamus' 'right Thalamus'],"[278, 290, 370, 312]"
456772,20191119,450,274,164,81.02189781,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Midbrain'],"[130, 103, 132]"
456772,20191119,400,267,158,70.03745318,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Midbrain'],"[103, 119, 167]"
456772,20191120,404,275,157,85.45454545,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Midbrain'],"[240, 167, 137]"
456772,20191120,454,304,138,62.82894737,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Midbrain'],"[164, 166, 119]"
456772,20191121,440,305,172,92.78688525,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['right ALM' 'left Thalamus' 'right Thalamus'],"[94, 280, 373]"
456772,20191121,480,320,185,89.375,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['right ALM' 'left Thalamus' 'right Thalamus'],"[64, 269, 272]"
456772,20191122,470,302,154,87.74834437,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['right ALM' 'left Thalamus' 'right Thalamus'],"[185, 274, 317]"
456772,20191122,415,285,123,54.38596491,"['19011116211', '19011116163', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['right ALM' 'left Thalamus' 'right Thalamus'],"[197, 339, 393]"
456772,20191123,421,270,155,90,"['19011111614', '19011116163', '19011111142']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Striatum' 'right Striatum'],"[271, 95, 122]"
456772,20191123,600,414,259,86.95652174,"['19011111614', '19011116163', '19011111142']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Striatum' 'right Striatum'],"[271, 157, 126]"
456773,20191002,581,386,210,80.31088083,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[299, 265, 412, 251]"
456773,20191003,507,327,213,79.81651376,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[122, 176, 339, 300]"
456773,20191004,491,320,174,83.75,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[237, 282, 401, 286]"
456773,20191005,700,461,220,87.63557484,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[250, 231, 386, 240]"
456774,20191021,440,267,145,65.16853933,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Medulla' 'right Medulla'],"[303, 360, 321, 221]"
456774,20191022,570,399,300,21.80451128,"['19011116153', '19011111142', '19011116211']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Medulla' 'right Medulla'],"[209, 283, 369]"
456774,20191023,530,342,248,52.33918129,"['19011116153', '19011111142', '19011116211']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['right ALM' 'left Medulla' 'right Medulla'],"[164, 224, 248]"
460432,20191217,450,311,273,11.5755627,"['19011116163', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Medulla'],"[292, 292, 173]"
460432,20191218,520,341,220,59.82404692,"['19011116163', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Medulla'],"[439, 130, 195]"
460432,20191219,450,288,142,56.59722222,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']",['right ALM' 'left Medulla' 'right Midbrain'],"[344, 200, 198]"
460432,20191220,490,351,174,70.08547009,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']",['right ALM' 'left Medulla' 'right Midbrain'],"[183, 190, 239]"
460434,20191112,480,331,170,39.27492447,"['19011116153', '19011111614', '19011116211']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Medulla'],"[285, 61, 146]"
460434,20191113,423,275,144,57.09090909,"['19011116153', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']",['left ALM' 'left Midbrain' 'right Medulla'],"[322, 121, 222]"
460434,20191114,503,271,117,61.25461255,"['19011116153', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']",['right ALM' 'left Medulla' 'right Midbrain'],"[173, 188, 227]"
